id,name,description,notes,created_at,updated_at,slug
1,Not Classified,,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,not_classified
2,Single,,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,single
3,Limited,,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,limited
4,Significant,,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,significant
5,Ubiquitous,,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,ubiquitous
