id,predicate,subj_id,obj_id,created_at,updated_at
62,depends_on,46,63,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
63,depends_on,49,63,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
64,depends_on,51,63,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
65,depends_on,52,63,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
66,depends_on,53,63,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
67,depends_on,64,63,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
68,depends_on,78,63,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
69,depends_on,11,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
70,depends_on,16,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
71,depends_on,23,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
72,depends_on,31,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
73,depends_on,33,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
74,depends_on,34,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
75,depends_on,38,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
76,depends_on,74,68,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
77,depends_on,80,70,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
78,depends_on,1,75,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
79,depends_on,17,75,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
80,depends_on,22,75,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
81,depends_on,47,75,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
82,depends_on,77,75,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
83,depends_on,85,76,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
84,depends_on,71,87,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
85,depends_on,41,92,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
86,depends_on,41,93,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
87,depends_on,94,93,2020-04-16 14:18:32 UTC,2020-04-16 14:18:32 UTC
